<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20170101 to 20170201</B><hr><pre>Selected parameters:
 1 Bartels rotation number
 2 ID for IMF spacecraft
 3 ID for SW Plasma spacecraft
 4 # of points in IMF averages 
 5 # of points in Plasma averag.
 6 Scalar B, nT
 7 Vector B Magnitude,nT
 8 Lat. Angle of B (GSE)
 9 Long. Angle of B (GSE)
10 BX, nT (GSE, GSM)
11 BY, nT (GSE)
12 BZ, nT (GSE)
13 BY, nT (GSM)
14 BZ, nT (GSM)
15 RMS_magnitude, nT
16 RMS_field_vector, nT
17 RMS_BX_GSE, nT
18 RMS_BY_GSE, nT
19 RMS_BZ_GSE, nT
20 SW Plasma Temperature, K
21 SW Proton Density, N/cm^3
22 SW Plasma Speed, km/s
23 SW Plasma flow long. angle
24 SW Plasma flow lat. angle
25 Alpha/Prot. ratio
26 sigma-T,K
27 sigma-n, N/cm^3)
28 sigma-V, km/s
29 sigma-phi V, degrees
30 sigma-theta V, degrees
31 sigma-ratio
32 Flow pressure
33 E elecrtric field 
34 Plasma betta
35 Alfen mach number
36 Magnetosonic Much num.
37 Kp index
38 R (Sunspot No.)
39 Dst-index, nT
40 ap_index, nT
41 f10.7_index
42 AE-index, nT
43 AL-index, nT
44 AU-index, nT
45 pc-index
46 Lyman_alpha
47 Proton flux (>1 Mev)
48 Proton flux (>2 Mev)
49 Proton flux (>4 Mev)
50 Proton flux (>10 Mev)
51 Proton flux (>30 Mev)
52 Proton flux (>60 Mev)
53 Flux FLAG

YEAR DOY HR   1   2  3  4   5     6     7     8     9    10    11    12    13    14    15    16    17    18    19       20    21    22    23    24    25       26    27    28    29    30    31    32     33     34    35   36  37 38    39  40    41   42    43    44    45    46        47       48       49       50       51       52  53
2017   3  0 2502 51 51  61  37   6.4   6.4 -12.7 142.1  -4.9   3.8  -1.4   4.0  -0.3   0.2   0.9   0.5   0.5   0.6   58462.   8.6  367.  -0.7   1.5 0.049    6897.   0.7    3.   0.9   0.6 0.003  2.31   0.11   1.63   8.4  5.4  3  11    -6   2  71.0   30    -8    22 999.9  3.74 999999.99 99999.99 99999.99     0.16     0.08     0.06 -1
2017   3  1 2502 51 51  59  35   6.5   6.3 -11.0 148.4  -5.3   3.2  -1.2   3.4  -0.4   0.1   1.4   0.5   0.9   0.8   69354.   8.1  371.  -0.2   1.8 0.051   11235.   0.6    4.   1.1   1.1 0.004  2.24   0.15   1.58   8.1  5.3  3  11    -7   2  71.0   33    -8    25 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017   3  2 2502 51 51  60  37   6.2   6.0  -6.0 143.7  -4.8   3.5  -0.6   3.5   0.2   0.4   1.4   0.5   0.6   1.1   66313.   8.3  372.  -0.5   1.8 0.047    7296.   0.8    5.   1.4   0.8 0.004  2.28  -0.07   1.75   8.6  5.5  3  11    -6   2  71.0   41   -11    31 999.9  3.74 999999.99 99999.99 99999.99     0.20     0.10     0.07 -1
2017   3  3 2502 51 51  64  39   5.5   3.3 -39.5 115.4  -1.1   2.3  -2.1   2.6  -1.7   0.4   4.4   3.8   1.6   1.3   63145.   9.6  380.  -1.0   2.9 0.044   14765.   0.7   10.   0.6   0.9 0.004  2.72   0.65   2.53  10.7  6.0 17  11    -5   6  71.0   46   -13    33 999.9  3.74 999999.99 99999.99 99999.99     0.18     0.11     0.08 -1
2017   3  4 2502 51 51  57  34   5.6   4.5 -18.1 127.6  -2.6   3.4  -1.4   3.5  -1.0   0.4   3.3   2.4   0.9   2.1   50794.  12.3  373.  -2.4   2.1 0.033   10947.   1.2    9.   0.9   1.0 0.014  3.24   0.37   2.92  11.7  6.2 17  11    -6   6  71.0  119   -39    80 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017   3  5 2502 51 51  62  37   5.7   5.4 -19.8 132.2  -3.4   3.8  -1.8   3.9  -1.5   0.5   1.8   1.1   0.4   1.4   39152.  16.3  378.  -3.7   2.1 0.014    2792.   1.8    3.   0.4   0.2 0.001  4.11   0.57   3.50  13.4  6.7 17  11    -4   6  71.0  111   -31    79 999.9  3.74 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017   3  6 2502 51 51  60  36   7.3   6.9   7.5 129.7  -4.4   5.3   0.9   5.3   1.0   1.8   3.0   1.3   1.7   2.1   35057.  22.8  390.  -5.4   3.9 0.012    3797.   3.2    4.   1.1   0.8 0.002  6.07  -0.39   2.91  12.8  6.8 20  11     0   7  71.0  130   -40    89 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.10     0.08 -1
2017   3  7 2502 51 51  63  39   5.6   1.7 -69.8 235.7  -0.3  -0.5  -1.6  -0.5  -1.6   2.0   5.6   3.3   3.1   3.3   39403.  29.1  389.  -6.9   3.5 0.014    8021.   4.2   11.   0.8   1.2 0.004  7.77   0.62   6.48  18.7  7.3 20  11     6   7  71.0  111   -57    54 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.09     0.06 -1
2017   3  8 2502 51 51  62  36   9.2   8.6  31.7 327.5   6.2  -3.9   4.5  -3.6   4.7   1.2   3.5   1.2   1.6   2.9   77605.  20.8  412.  -5.3   3.4 0.033   22217.   1.3    6.   0.6   1.0 0.010  6.67  -1.94   2.11  10.2  6.1 20  11     3   7  71.0  103   -56    47 999.9  3.74 999999.99 99999.99 99999.99     0.18     0.09     0.06 -1
2017   3  9 2502 51 51  64  39  10.5   6.3 -50.6 173.0  -4.0   0.5  -4.9   0.1  -4.9   0.8   8.3   6.2   4.8   2.9   90022.  14.2  448.  -0.8   2.8 0.049   24793.   1.9   16.   2.2   1.0 0.006  5.69   2.20   1.17   8.0  5.7 37  11     7  22  71.0  119   -63    56 999.9  3.74 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017   3 10 2502 51 51  61  37   6.7   5.1 -50.8 179.7  -3.3   0.0  -4.0  -0.3  -4.0   2.2   4.6   3.3   2.8   1.8  188682.  14.1  472.   2.3   4.6 0.045   65860.   1.2   12.   1.5   1.9 0.011  6.19   1.89   4.14  13.2  6.2 37  11    -5  22  71.0  469  -377    92 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.09     0.06 -1
2017   3 11 2502 51 51  60  37   5.2   4.2 -49.2 259.7  -0.5  -2.7  -3.2  -2.9  -3.0   1.3   3.1   2.3   1.5   1.4  246836.  12.3  466.   1.2   4.9 0.047   24780.   1.2    7.   1.2   0.8 0.008  5.30   1.40   7.10  15.7  5.9 37  11   -16  22  71.0  519  -462    57 999.9  3.74 999999.99 99999.99 99999.99     0.16     0.10     0.08 -1
2017   3 12 2502 51 51  61  37   6.2   4.6  11.1 337.1   4.2  -1.8   0.9  -1.7   1.0   1.3   4.2   1.8   2.5   2.8  264667.  10.6  474.   1.7   4.8 0.055   31054.   0.7    5.   0.7   0.7 0.004  4.85  -0.47   4.51  12.4  5.6 27  11   -22  12  71.0  321  -251    70 999.9  3.74 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017   3 13 2502 51 51  62  35   8.3   7.3   1.2 339.4   6.8  -2.6   0.2  -2.6   0.3   0.4   3.7   0.9   2.4   2.7  237424.   9.5  497.   6.6   4.3 0.048   26426.   0.4   10.   2.6   1.2 0.005  4.67  -0.15   2.10   9.2  5.5 27  11   -20  12  71.0  168   -67   101 999.9  3.74 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   3 14 2502 51 51  61  37   8.2   7.5   8.4 332.7   6.6  -3.4   1.1  -3.4   1.1   0.4   2.8   0.7   1.9   2.0  209367.   8.5  506.   6.0   7.2 0.048   16485.   0.7    5.   1.1   0.9 0.007  4.33  -0.56   1.78   9.0  5.6 27  11   -17  12  71.0   96   -47    49 999.9  3.74 999999.99 99999.99 99999.99     0.16     0.08     0.06 -1
2017   3 15 2502 51 51  61  37   7.8   7.2 -17.3 322.8   5.5  -4.2  -2.2  -4.1  -2.4   0.4   2.6   1.0   1.3   2.0  189042.   6.8  514.   6.3   7.7 0.045   27946.   0.5    7.   1.4   2.5 0.010  3.54   1.23   1.48   8.6  5.7 30  11   -15  15  71.0  202  -167    35 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017   3 16 2502 51 51  57  35   7.2   5.2 -30.0 325.1   3.7  -2.6  -2.6  -2.4  -2.8   0.7   4.9   2.1   2.9   3.4  170538.   5.6  523.   7.2   6.3 0.047   43402.   0.6   17.   3.0   2.6 0.011  3.04   1.46   1.34   8.6  5.8 30  11   -15  15  71.0  159  -113    46 999.9  3.74 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017   3 17 2502 51 51  59  35   7.6   7.5  12.7 326.0   6.0  -4.1   1.6  -4.3   1.1   0.6   1.5   0.9   0.8   0.9  176585.   5.4  489.   3.1   9.1 0.047   38073.   0.7    8.   1.1   1.5 0.006  2.56  -0.54   1.19   7.5  5.3 30  11   -21  15  71.0  348  -278    70 999.9  3.74 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017   3 18 2502 51 51  58  34   7.4   7.1   5.8 323.7   5.7  -4.2   0.7  -4.3   0.0   0.4   2.1   0.6   1.3   1.4  136904.   6.3  468.   3.4   8.3 0.054   24568.   0.5    7.   1.0   1.2 0.006  2.80  -0.00   1.27   7.9  5.5 27  11   -27  12  71.0  289  -186   103 999.9  3.74 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017   3 19 2502 51 51  58  35   8.2   8.1 -15.9 319.1   5.9  -5.1  -2.2  -4.5  -3.2   0.2   1.1   0.8   0.7   0.4  144594.   7.4  448.   2.8   6.1 0.060   19288.   0.4    5.   0.9   0.9 0.005  3.08   1.43   1.25   7.4  5.2 27  11   -19  12  71.0  142   -77    66 999.9  3.74 999999.99 99999.99 99999.99     0.19     0.09     0.07 -1
2017   3 20 2502 51 51  61  37   9.0   7.8  -1.5 303.4   4.3  -6.5  -0.2  -6.3  -1.8   0.8   4.5   1.8   1.8   3.8   97611.   6.2  447.   2.5   7.0 0.051   18923.   0.9   13.   1.2   2.2 0.011  2.49   0.80   0.72   6.2  4.9 27  11   -19  12  71.0  227  -129    99 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017   3 21 2502 51 51  46  22   8.5   8.0  30.3 296.4   3.1  -6.2   4.0  -7.0   2.2   1.4   3.1   2.0   1.7   1.6   69405.   6.2  430.   0.7   7.6 0.033   11329.   1.5   12.   0.8   1.0 0.005  2.17  -0.95   0.71   6.3  5.0 27  11   -22  12  71.0  263  -173    90 999.9  3.74 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   3 22 2502 51 51  60  35   8.1   7.7   3.7 304.9   4.4  -6.3   0.5  -6.2  -1.3   0.4   2.4   1.2   0.9   1.9   65583.   7.0  409.  -0.6   4.1 0.023   15064.   0.8    4.   1.1   1.3 0.005  2.14   0.53   0.86   6.7  5.1 27  11   -19  12  71.0   69   -25    44 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.09     0.06 -1
2017   3 23 2502 51 51  59  34   7.7   7.6   8.9 315.7   5.4  -5.2   1.2  -5.3  -0.3   0.2   1.2   0.3   0.5   1.0   43924.   7.6  403.  -2.1   2.2 0.021    8225.   0.6    4.   0.7   0.6 0.003  2.23   0.12   0.92   7.2  5.4 27  11   -17  12  71.0   54   -28    26 999.9  3.74 999999.99 99999.99 99999.99     0.16     0.09     0.06 -1
2017   4  0 2502 51 51  61  35   7.5   7.3  12.2 297.7   3.3  -6.3   1.5  -6.5  -0.3   0.2   1.9   1.6   0.9   0.6   43941.   9.6  412.  -3.3   2.3 0.021    4055.   0.9    3.   0.7   0.4 0.002  2.95   0.12   1.22   8.5  5.9 10   0   -11   4  70.0   76   -24    52 999.9  3.71 999999.99 99999.99 99999.99     0.17     0.09     0.06 -1
2017   4  1 2502 51 51  59  35   7.3   6.8  21.7 325.5   5.2  -3.6   2.5  -4.1   1.5   0.2   2.5   1.6   1.7   0.8   47449.  11.9  407.  -2.8   2.5 0.019   11495.   1.6    6.   1.1   0.8 0.005  3.54  -0.61   1.63   9.6  6.2 10   0    -8   4  70.0   52   -12    40 999.9  3.71 999999.99 99999.99 99999.99     0.17     0.11     0.08 -1
2017   4  2 2502 51 51  59  35   7.3   7.1  23.7 309.8   4.1  -5.0   2.8  -5.5   1.6   0.8   1.7   0.7   1.0   1.2   49564.  12.0  408.  -3.8   1.1 0.022    7065.   0.9    3.   0.8   0.5 0.004  3.63  -0.65   1.67   9.7  6.2 10   0    -4   4  70.0   45    -5    40 999.9  3.71 999999.99 99999.99 99999.99     0.18     0.11     0.08 -1
2017   4  3 2502 51 51  58  35   7.4   7.1  21.7 303.1   3.6  -5.5   2.6  -5.9   1.6   0.9   2.1   1.3   1.4   0.7   51020.  13.5  403.  -4.4   0.2 0.025    9674.   1.9    5.   0.6   0.4 0.003  4.03  -0.64   1.84  10.0  6.2 17   0     1   6  70.0   56    -5    51 999.9  3.71 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017   4  4 2502 51 51  60  35   7.0   6.5  26.2 337.8   5.4  -2.2   2.9  -2.5   2.6   1.0   2.5   1.0   2.0   1.2   36693.  23.8  387.  -4.4   1.4 0.025   11776.   4.7    4.   0.8   0.7 0.004  6.55  -1.01   3.34  13.5  6.8 17   0    12   6  70.0   67    -3    64 999.9  3.71 999999.99 99999.99 99999.99     0.19     0.09     0.07 -1
2017   4  5 2502 51 51  58  33  11.3   8.0  23.7 314.7   5.2  -5.2   3.2  -5.4   2.8   3.0   8.4   6.0   5.4   2.3   43612.  30.6  390.  -6.7   1.9 0.025   12405.   6.7    9.   1.6   0.5 0.006  8.55  -1.09   1.71   9.5  6.1 17   0    11   6  70.0   71    -9    62 999.9  3.71 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017   4  6 2502 51 51  63  37  13.9  12.8   5.0 264.7  -1.2 -12.7   1.1 -12.7   0.8   0.6   5.5   4.6   2.2   2.1   50937.  15.6  394.  -4.3   0.8 0.028    6519.   2.0    6.   0.7   0.4 0.008  4.50  -0.32   0.60   5.6  4.5 13   0     8   5  70.0   96   -13    82 999.9  3.71 999999.99 99999.99 99999.99     0.17     0.09     0.06 -1
2017   4  7 2502 51 51  66  40  11.9   7.2  18.8 336.1   6.2  -2.8   2.3  -2.8   2.3   1.1   9.5   4.8   7.8   2.5  142982.   9.1  430.   2.9  -1.2 0.051   39224.   1.4   14.   2.9   1.1 0.010  3.38  -0.99   0.73   5.5  4.3 13   0     3   5  70.0   48   -10    38 999.9  3.71 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017   4  8 2502 51 51  60  37  11.8  11.0  -6.2 262.2  -1.5 -10.9  -1.2 -10.9  -0.7   0.6   4.0   3.4   0.8   1.8  219444.   5.9  451.   5.5  -1.8 0.048   33226.   1.1    7.   1.1   0.9 0.011  2.39   0.32   0.61   4.6  3.8 13   0    -1   5  70.0   50   -23    27 999.9  3.71 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   4  9 2502 51 51  60  36   9.7   8.7   6.1 306.0   5.1  -7.0   0.9  -6.9   1.4   0.6   4.1   3.0   1.7   2.2  244747.   7.5  457.   4.9  -2.6 0.048   33872.   0.6    8.   1.7   1.5 0.009  3.12  -0.64   1.24   6.5  4.5 20   0    -2   7  70.0  109   -51    57 999.9  3.71 999999.99 99999.99 99999.99     0.15     0.09     0.07 -1
2017   4 10 2502 51 51  62  37   9.9   9.0  16.6 326.0   7.2  -4.8   2.6  -4.6   3.0   0.6   3.8   1.4   2.3   2.7  167926.   7.2  467.   4.5  -1.4 0.040   36297.   0.6   11.   2.0   2.2 0.005  3.04  -1.40   0.91   6.3  4.7 20   0    -4   7  70.0  295  -175   120 999.9  3.71 999999.99 99999.99 99999.99     0.19     0.08     0.06 -1
2017   4 11 2502 51 51  64  38   9.9   8.8   2.9 307.5   5.4  -7.0   0.4  -7.0   0.9   0.5   4.0   2.6   2.0   2.3  157142.   6.0  498.   1.8  -3.4 0.034   36139.   0.6   21.   1.7   1.9 0.005  2.82  -0.45   0.73   6.2  4.8 20   0    -4   7  70.0  162  -102    60 999.9  3.71 999999.99 99999.99 99999.99     0.18     0.09     0.06 -1
2017   4 12 2502 51 51  58  34  10.4   9.3  -1.4 306.4   5.5  -7.5  -0.2  -7.5   0.2   0.5   4.6   2.9   2.3   2.7  157541.   5.7  507.   1.5  -4.5 0.039   41582.   0.7   18.   2.3   1.5 0.008  2.83  -0.10   0.63   5.8  4.7 23   0    -7   9  70.0  146   -84    62 999.9  3.71 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017   4 13 2502 51 51  59  35  11.5  11.2  23.5 339.8   9.7  -3.6   4.5  -3.5   4.6   0.2   2.3   0.7   2.1   0.6  109138.   5.7  489.   6.4  -1.2 0.035   13154.   0.3    5.   1.7   0.8 0.003  2.59  -2.25   0.43   5.1  4.3 23   0   -11   9  70.0  172   -82    90 999.9  3.71 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017   4 14 2502 51 51  61  34  10.1   9.5  11.4 323.2   7.5  -5.6   1.9  -5.6   1.9   1.0   3.3   1.8   2.0   2.0  246497.   7.4  495.   5.8  -2.8 0.049  125811.   1.1   16.   1.7   1.7 0.010  3.62  -0.94   1.13   6.7  4.7 23   0    -7   9  70.0   83    -7    76 999.9  3.71 999999.99 99999.99 99999.99     0.19     0.10     0.08 -1
2017   4 15 2502 51 51  60  37   8.7   7.9  18.3 328.5   6.4  -3.9   2.5  -4.0   2.3   0.5   3.5   1.8   2.6   1.5  271539.   7.8  504.   6.7  -3.2 0.050   72495.   1.0   11.   3.7   1.7 0.006  3.97  -1.16   1.71   8.1  5.1 23   0    -4   9  70.0   84   -43    41 999.9  3.71 999999.99 99999.99 99999.99     0.19     0.09     0.06 -1
2017   4 16 2502 51 51  60  36   7.8   7.6  22.4 337.0   6.5  -2.7   2.9  -2.9   2.6   0.6   2.0   0.5   1.5   1.2  196618.   6.8  497.   5.6  -1.0 0.045   32241.   0.8    4.   2.2   1.7 0.007  3.31  -1.29   1.51   8.3  5.5 23   0   -15   9  70.0  118   -78    40 999.9  3.71 999999.99 99999.99 99999.99     0.19     0.09     0.07 -1
2017   4 17 2502 51 51  60  35   7.0   6.9   0.8 336.6   6.3  -2.7   0.1  -2.7  -0.3   0.2   1.3   0.5   1.0   0.8  211567.   7.8  496.   5.4  -3.4 0.040   34935.   0.3    5.   1.5   1.3 0.005  3.72   0.15   2.25   9.9  5.8 23   0   -15   9  70.0   52   -19    32 999.9  3.71 999999.99 99999.99 99999.99     0.21     0.10     0.07 -1
2017   4 18 2502 51 51  60  36   6.5   6.2   2.5 349.3   6.1  -1.1   0.3  -1.1   0.1   0.3   1.9   0.5   1.5   1.0  180980.   7.3  496.   5.6  -3.7 0.035   24583.   0.3    3.   1.5   1.2 0.003  3.42  -0.05   2.22  10.3  6.0 37   0   -18  22  70.0  435  -352    84 999.9  3.71 999999.99 99999.99 99999.99     0.19     0.10     0.08 -1
2017   4 19 2502 51 51  62  39   5.9   3.3 -15.6 336.5   2.9  -1.3  -0.9  -1.1  -1.2   0.4   4.8   3.5   1.3   3.1  168271.   7.1  503.   3.9  -4.7 0.032   28440.   0.3   16.   1.4   1.5 0.005  3.38   0.60   2.52  11.4  6.4 37   0   -23  22  70.0  765  -640   125 999.9  3.71 999999.99 99999.99 99999.99     0.19     0.08     0.06 -1
2017   4 20 2502 51 51  57  34   7.4   6.3  -2.2 290.5   2.2  -5.9  -0.2  -5.7  -1.7   0.3   3.7   2.0   1.4   2.7  116154.   6.0  490.  -1.6  -3.7 0.028   21334.   0.5   11.   1.4   1.8 0.004  2.68   0.83   1.11   8.1  5.8 37   0   -24  22  70.0  430  -297   133 999.9  3.71 999999.99 99999.99 99999.99     0.21     0.10     0.08 -1
2017   4 21 2502 51 51  62  36   8.4   7.8  19.2 328.5   6.2  -3.8   2.5  -4.3   1.4   0.7   3.2   1.0   2.8   1.2  121024.   5.7  485.  -0.3  -2.6 0.036   32713.   1.2    8.   3.0   1.5 0.008  2.56  -0.68   0.84   6.9  5.2 33   0   -28  18  70.0  319  -186   134 999.9  3.71 999999.99 99999.99 99999.99     0.18     0.08     0.06 -1
2017   4 22 2502 51 51  60  36   8.7   7.9   8.4 304.3   4.4  -6.4   1.1  -6.4  -0.8   0.6   3.7   2.4   1.6   2.3  111197.   5.7  497.  -2.9  -1.6 0.032   19714.   0.9   10.   1.5   1.2 0.005  2.65   0.40   0.75   6.8  5.3 33   0   -23  18  70.0  205   -89   117 999.9  3.71 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017   4 23 2502 51 51  60  37   8.9   8.8  -1.1 298.4   4.2  -7.7  -0.2  -7.3  -2.4   0.2   1.5   0.5   0.5   1.2  114279.   5.1  501.  -3.3  -1.9 0.034   10448.   0.6    6.   0.8   1.0 0.002  2.43   1.20   0.65   6.4  5.1 33   0   -22  18  70.0  333  -223   110 999.9  3.71 999999.99 99999.99 99999.99     0.20     0.09     0.07 -1
2017   5  0 2502 51 51  60  34   8.5   8.1  -2.5 312.0   5.4  -6.0  -0.4  -5.6  -2.1   0.3   2.4   1.8   1.2   1.0  126336.   5.5  505.  -3.6  -2.0 0.035   16411.   0.6    6.   1.1   0.6 0.004  2.67   1.06   0.81   7.0  5.3 33   0   -20  18  70.9  372  -181   191 999.9  3.69 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017   5  1 2502 51 51  60  36   8.9   8.8 -13.7 310.8   5.6  -6.4  -2.1  -5.6  -3.7   0.2   1.4   0.6   0.4   1.2  120244.   5.7  510.  -4.1  -3.0 0.033   10154.   0.2    4.   0.6   0.5 0.002  2.80   1.89   0.74   6.8  5.3 33   0   -18  18  70.9  425  -156   269 999.9  3.69 999999.99 99999.99 99999.99     0.18     0.09     0.06 -1
2017   5  2 2502 51 51  60  36   9.2   9.1 -11.8 313.1   6.1  -6.5  -1.8  -5.9  -3.2   0.3   1.3   0.7   0.3   1.0  107442.   6.7  513.  -5.3  -2.4 0.026    9397.   0.4    4.   0.6   0.9 0.002  3.25   1.64   0.78   7.2  5.6 33   0   -18  18  70.9  442  -147   295 999.9  3.69 999999.99 99999.99 99999.99     0.16     0.10     0.08 -1
2017   5  3 2502 51 51  61  36   9.7   9.3   8.1 323.7   7.4  -5.4   1.3  -5.5   0.3   0.4   2.7   0.5   0.3   2.6  117550.   7.9  511.  -4.6  -1.4 0.023   16747.   0.5    3.   0.9   0.7 0.004  3.76  -0.15   0.86   7.4  5.6 33   0   -18  18  70.9  236   -60   177 999.9  3.69 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017   5  4 2502 51 51  63  37   7.4   4.6  -9.1 351.4   4.5  -0.7  -0.7  -0.6  -0.8   1.2   5.8   2.1   3.7   3.9  214356.  10.5  530.  -4.1  -1.3 0.028   42989.   0.9   10.   1.7   2.1 0.002  5.48   0.42   2.73  11.6  6.3 33   0   -11  18  70.9  157   -24   132 999.9  3.69 999999.99 99999.99 99999.99     0.21     0.11     0.08 -1
2017   5  5 2502 51 51  57  35   6.0   2.0  -9.0  25.9   1.7   0.8  -0.3   0.8  -0.2   1.3   5.6   3.2   4.4   1.6  249786.  10.5  536.  -4.8  -2.6 0.025   33367.   0.6   15.   2.3   1.0 0.003  5.54   0.11   4.59  14.5  6.5 33   0    -6  18  70.9  280  -106   174 999.9  3.69 999999.99 99999.99 99999.99     0.19     0.09     0.06 -1
2017   5  6 2502 51 51  60  35   5.8   4.8  36.6  27.0   3.4   1.7   2.9   1.6   3.0   0.4   3.2   1.8   2.4   1.0  238395.   9.1  516.  -4.5  -2.0 0.026   32821.   0.9    8.   2.0   1.2 0.004  4.47  -1.55   4.13  13.4  6.3 20   0   -11   7  70.9  234   -60   174 999.9  3.69 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017   5  7 2502 51 51  56  32   6.4   5.7  30.0 358.4   4.9  -0.1   2.8  -0.1   2.8   0.7   3.0   1.3   2.4   1.3  172814.   7.0  494.  -5.2  -1.9 0.025   31921.   1.1    8.   2.5   1.8 0.004  3.14  -1.38   2.14  10.2  6.0 20   0   -10   7  70.9   73   -15    58 999.9  3.69 999999.99 99999.99 99999.99     0.20     0.09     0.06 -1
2017   5  8 2502 51 51  66  40   5.9   5.2  11.4 355.3   5.0  -0.4   1.0  -0.4   1.0   1.1   3.0   1.6   2.3   1.2  227008.   4.2  513.  -6.0  -5.8 0.049   82508.   0.6   21.   3.9   1.8 0.010  2.21  -0.51   1.78   8.9  5.6 20   0   -12   7  70.9   41   -11    30 999.9  3.69 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   5  9 2502 51 51  60  34   6.9   5.7  41.0  18.6   4.1   1.4   3.8   1.6   3.7   0.5   3.7   2.2   2.2   2.0  201425.   3.9  523.  -1.7  -3.1 0.046   41837.   0.7   17.   1.9   2.2 0.010  2.11  -1.94   1.12   7.5  5.3 20   0   -10   7  70.9   52   -25    27 999.9  3.69 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017   5 10 2502 51 51  64  37   6.4   5.8 -22.6 335.8   4.8  -2.2  -2.2  -2.3  -2.0   1.3   2.9   2.3   1.1   1.5  211231.   3.2  576.  -0.6  -3.5 0.045   59959.   0.7   22.   1.5   1.6 0.013  2.09   1.15   1.10   8.0  5.8 20   0    -9   7  70.9   34   -16    19 999.9  3.69 999999.99 99999.99 99999.99     0.16     0.09     0.06 -1
2017   5 11 2502 51 51  61  35   5.8   2.0  -4.0  69.8   0.7   1.9  -0.1   1.9  -0.2   1.3   5.2   3.4   2.2   3.1  247493.   4.5  582.   0.9  -2.5 0.035   53541.   1.4   20.   1.7   2.2 0.012  2.90   0.12   2.09  10.6  6.4 20   0    -5   7  70.9  106   -52    55 999.9  3.69 999999.99 99999.99 99999.99     0.17     0.09     0.06 -1
2017   5 12 2502 51 51  60  37   8.0   7.2   9.7 123.3  -3.9   5.9   1.2   6.0   0.9   1.2   3.7   1.8   1.6   2.8  196754.   5.8  619.   2.3  -2.2 0.023   37552.   0.9    7.   1.0   0.9 0.003  4.05  -0.56   1.23   9.3  6.5 30   0    -3  15  70.9  262  -172    90 999.9  3.69 999999.99 99999.99 99999.99     0.19     0.09     0.06 -1
2017   5 13 2502 51 51  62  36   7.2   2.3  54.5 159.0  -1.3   0.5   1.9   0.5   1.9   2.2   7.1   4.3   4.2   3.9  235308.   6.5  645.   0.6  -4.6 0.022   41160.   1.0   16.   1.2   1.0 0.005  4.91  -1.23   1.90  11.4  7.0 30   0    -2  15  70.9  482  -443    39 999.9  3.69 999999.99 99999.99 99999.99     0.20     0.10     0.06 -1
2017   5 14 2502 51 51  63  39   8.5   7.0   9.6 325.0   5.7  -4.0   1.2  -4.0   1.2   0.4   4.5   2.4   1.6   3.5  325132.   4.3  681.   1.9  -4.9 0.071   98871.   0.8   21.   1.8   1.7 0.013  4.28  -0.82   1.12   8.3  5.9 30   0    -3  15  70.9  255  -209    46 999.9  3.69 999999.99 99999.99 99999.99     0.21     0.10     0.07 -1
2017   5 15 2502 51 51  60  33   9.8   7.3   0.6 318.6   5.5  -4.8   0.1  -4.8  -0.1   0.6   6.2   3.0   2.4   4.8  367113.   5.7  713.   4.8  -4.6 0.058   87255.   0.5   24.   1.7   2.6 0.014  5.96   0.07   1.22   8.7  6.1 37   0    -3  22  70.9  585  -512    73 999.9  3.69 999999.99 99999.99 99999.99     0.21     0.09     0.07 -1
